family,lat,lon,country,commodity
Li,-33.8667,116.0625,Australia,Greenbushes [Beryllium; Lithium; Niobium and Tantalum; Tin|Pegmatite; Li-Cs-Ta type pegmatite; Hydrothermal]
NiCo,-20.997,-48.499,Brazil,Fortaleza de Minas [Cobalt|Magmatic Ni-Cu(-Co-PGE) sulfide]
NiCo,-20.57,139.472,Australia,Mount Isa [Gallium; Cobalt|Ga and Co in Clastic-dominated Pb-Zn]
NiCo,-20.4447,164.2172,New Caledonia,Tiébaghi [Cobalt|Ni-Co laterite]
NiCo,-20.433,140.7,Australia,Ernest Henry [Cobalt|Iron oxide-Cu-Au(Ag-U-REE-Co-Ni)]
NiCo,-20.002,133.658,Australia,Rover 1 [Cobalt|Iron oxide-Cu-Au(Ag-U-REE-Co-Ni)]
NiCo,-19.483,139.467,Australia,Mount Oxide [Cobalt|Iron oxide-Cu-Au(Ag-U-REE-Co-Ni)]
NiCo,-18.9703,144.9347,Australia,Greenvale-Kokomo-Lucknow [Cobalt|Ni-Co laterite]
NiCo,-18.8678,48.3531,Madagascar,Ambatovy [Cobalt|Ni-Co laterite]
NiCo,-18.8456,48.3708,Madagascar,Analamay [Cobalt|Ni-Co laterite]
NiCo,-18.137,144.789,Australia,Bell Creek-Neck-Minnamoolka [Cobalt|Ni-Co laterite]
NiCo,-17.353,128.022,Australia,Savannah [Cobalt|Magmatic Ni-Cu(-Co-PGE) sulfide]
NiCo,-16.103,-50.075,Brazil,Americano do Brasil [Cobalt|Magmatic Ni-Cu(-Co-PGE) sulfide]
NiCo,-15.997,28.001,Zambia,Munali [Cobalt|Magmatic Ni-Cu(-Co-PGE) sulfide]
NiCo,-15.6689,-51.12,Brazil,Santa Fe [Cobalt|Ni-Co laterite]
NiCo,-14.3533,-48.3958,Brazil,Niquelandia [Cobalt|Ni-Co laterite]
NiCo,-14.185,-39.725,Brazil,Santa Rita [Cobalt|Magmatic Ni-Cu(-Co-PGE) sulfide]
NiCo,-14.0,74.0,Indian Ocean,Pioneer [Cobalt|Sea-floor Fe-Mn(-Ni-Cu-Co-Mo) nodules]
