subtype,lat,lon
Cu_porphyry,19.0778,-102.0314
Cu_porphyry,28.4333,-109.3833
Cu_porphyry,31.0556,-110.4208
Cu_porphyry,31.1167,-110.4500
Cu_porphyry,27.1681,-109.0194
Cu_porphyry,30.3339,-109.6328
Cu_porphyry,18.6225,-100.8461
Cu_porphyry,18.9436,-101.9783
Cu_porphyry,26.7167,-108.2333
Cu_porphyry,28.4114,-109.8031
Cu_porphyry,25.6681,-107.3511
Cu_porphyry,19.1167,-102.9167
Cu_porphyry,19.3833,-100.6833
Cu_porphyry,15.3189,-92.3306
Cu_porphyry,19.7000,-97.8500
Cu_porphyry,49.6708,114.8444
Cu_porphyry,46.6833,104.8833
Cu_porphyry,49.0000,104.1333
Cu_porphyry,44.0000,106.1667
Cu_porphyry,49.1333,103.6500
Cu_porphyry,43.1667,102.8000
Cu_porphyry,48.5833,97.7833
Cu_porphyry,44.2333,108.0333
Cu_porphyry,43.0000,106.8667
Cu_porphyry,44.5742,109.4358
Cu_porphyry,45.7833,100.6000
Cu_porphyry,48.7750,104.2167
Cu_porphyry,44.1667,107.5000
Cu_porphyry,43.8667,108.3333
Cu_porphyry,48.7083,98.3417
Cu_porphyry,48.7167,98.3417
Cu_porphyry,22.2500,95.0833
Cu_porphyry,23.7083,95.5167
Cu_porphyry,-28.6833,17.8500
Cu_porphyry,-28.0667,16.9000
Cu_porphyry,-37.0958,175.5572
Cu_porphyry,29.5544,64.5042
Cu_porphyry,29.1225,62.1942
Cu_porphyry,29.1228,62.0789
Cu_porphyry,29.2708,61.5847
Cu_porphyry,29.4000,64.1417
Cu_porphyry,9.2833,-79.3833
Cu_porphyry,8.6333,-82.2000
Cu_porphyry,8.5000,-81.7833
Cu_porphyry,7.6333,-80.6000
Cu_porphyry,8.4333,-81.5000
Cu_porphyry,8.8333,-80.6667
Cu_porphyry,8.6333,-77.5667
Cu_porphyry,-2.0167,146.8833
Cu_porphyry,-5.1667,151.7167
Cu_porphyry,-4.7000,141.7833
Cu_porphyry,-3.2000,151.6500
Cu_porphyry,-9.3000,147.5833
Cu_porphyry,-2.1167,146.9500
Cu_porphyry,-5.9833,150.4667
Cu_porphyry,-5.2000,141.1333
Cu_porphyry,-6.3167,155.5000
Cu_porphyry,-5.9667,150.3833
Cu_porphyry,-5.7167,150.0167
Cu_porphyry,-5.0667,141.3333
Cu_porphyry,-5.0167,141.2167
Cu_porphyry,-6.8833,146.4500
Cu_porphyry,-6.7500,146.2833
Cu_porphyry,-5.7500,145.1667
Cu_porphyry,-14.2000,-74.4500
Cu_porphyry,-8.5597,-77.8967
Cu_porphyry,-13.2347,-75.9167
Cu_porphyry,-15.8167,-73.5833
Cu_porphyry,-8.1667,-78.1833
Cu_porphyry,-14.1833,-75.1483
Cu_porphyry,-14.9600,-71.3467
Cu_porphyry,-6.0833,-79.2833
Cu_porphyry,-17.6817,-69.9008
Cu_porphyry,-6.7617,-78.6058
Cu_porphyry,-16.5458,-71.5528
Cu_porphyry,-16.5353,-71.5917
Cu_porphyry,-14.0267,-72.3333
Cu_porphyry,-16.7736,-71.3578
Cu_porphyry,-14.2333,-75.4167
Cu_porphyry,-14.4617,-71.7667
Cu_porphyry,-14.9522,-71.2625
Cu_porphyry,-14.1811,-72.3481
Cu_porphyry,-17.0456,-70.7072
Cu_porphyry,-7.0167,-78.3167
Cu_porphyry,-13.7667,-75.7167
Cu_porphyry,-6.3583,-79.1194
Cu_porphyry,-5.7047,-79.2808
Cu_porphyry,-7.1181,-78.5756
Cu_porphyry,-14.4617,-72.9933
Cu_porphyry,-14.1581,-73.1333
Cu_porphyry,-12.9758,-76.1394
Cu_porphyry,-8.2156,-77.7717
Cu_porphyry,-7.3000,-78.3222
Cu_porphyry,-6.9150,-78.3594
Cu_porphyry,-5.7150,-79.2069
Cu_porphyry,-8.7886,-77.9958
Cu_porphyry,-13.9292,-75.3500
Cu_porphyry,-11.4797,-76.0844
Cu_porphyry,-14.9800,-71.3067
Cu_porphyry,-17.1081,-70.6158
Cu_porphyry,-4.9444,-79.3083
Cu_porphyry,-15.6250,-70.9917
Cu_porphyry,-6.7253,-78.6694
Cu_porphyry,-13.6861,-75.0931
Cu_porphyry,-14.9083,-71.3133
Cu_porphyry,-17.2450,-70.6139
Cu_porphyry,-11.6000,-76.1333
Cu_porphyry,7.3333,126.1500
Cu_porphyry,10.3667,123.8333
Cu_porphyry,9.4333,122.7000
Cu_porphyry,10.1333,124.2500
Cu_porphyry,9.4917,122.6792
Cu_porphyry,17.3444,121.0583
Cu_porphyry,17.4667,120.8167
Cu_porphyry,17.3000,121.0100
Cu_porphyry,9.5500,125.4883
Cu_porphyry,7.5500,126.1667
Cu_porphyry,16.3208,121.2917
Cu_porphyry,14.9739,120.2044
Cu_porphyry,16.8583,120.7833
Cu_porphyry,16.7917,120.8000
Cu_porphyry,17.1667,120.7333
Cu_porphyry,9.7500,122.5667
Cu_porphyry,13.5000,121.8833
Cu_porphyry,7.5917,126.0667
Cu_porphyry,16.3667,120.6000
Cu_porphyry,17.4000,120.8667
Cu_porphyry,7.1667,125.9917
Cu_porphyry,7.9333,123.3000
Cu_porphyry,8.0456,126.3817
Cu_porphyry,14.7667,121.3167
Cu_porphyry,9.2583,125.5233
Cu_porphyry,17.7667,121.2333
Cu_porphyry,7.3500,126.0167
Cu_porphyry,13.4500,122.0833
Cu_porphyry,16.7500,121.3500
Cu_porphyry,14.2333,122.7333
Cu_porphyry,15.0083,120.3667
Cu_porphyry,6.5667,124.4000
Cu_porphyry,16.7500,120.7000
Cu_porphyry,16.3833,120.9833
Cu_porphyry,16.4903,120.6556
Cu_porphyry,16.2631,120.6225
Cu_porphyry,16.7333,120.7667
Cu_porphyry,9.8167,122.4500
Cu_porphyry,9.5667,122.6333
Cu_porphyry,11.8167,125.2500
Cu_porphyry,7.5433,126.1000
Cu_porphyry,6.4750,125.0500
Cu_porphyry,16.4500,120.8667
Cu_porphyry,13.8000,121.1333
Cu_porphyry,50.1167,19.9500
Cu_porphyry,50.6167,19.3667
Cu_porphyry,50.4667,19.6167
Cu_porphyry,18.2500,-66.4167
Cu_porphyry,18.2500,-66.8167
Cu_porphyry,45.9833,23.0333
Cu_porphyry,44.7500,22.0000
Cu_porphyry,46.2333,23.2000
Cu_porphyry,44.9833,21.7833
