family,cell_lat,cell_lon,score_pct,nearest_anchor_lat,nearest_anchor_lon,nearest_km
Cu,36.0,-128.0,97.3,37.97,-122.73,517.0
Cu,-26.0,-76.0,97.3,-26.4,-70.67,534.0
Cu,-30.0,-64.0,97.3,-28.9,-66.82,299.0
Cu,54.0,-110.0,97.2,54.33,-102.0,522.0
Cu,56.0,-144.0,97.2,59.9,-144.42,434.0
Cu,-32.0,-76.0,97.2,-31.19,-71.58,428.0
Cu,26.0,-116.0,97.2,28.17,-115.17,255.0
Cu,40.0,-130.0,97.2,41.82,-123.99,544.0
Cu,56.0,-120.0,97.1,55.12,-124.03,272.0
Cu,-34.0,-66.0,97.1,-31.43,-67.42,315.0
Cu,54.0,-138.0,97.1,55.05,-133.07,339.0
Cu,56.0,-146.0,97.1,59.9,-144.42,444.0
Cu,52.0,-134.0,97.1,54.69,-132.71,311.0
Cu,50.0,-132.0,97.1,50.67,-127.83,305.0
Cu,42.0,-98.0,97.0,43.96,-103.46,495.0
Cu,-24.0,-76.0,97.0,-24.54,-70.55,556.0
Cu,46.0,-100.0,97.0,44.37,-103.74,345.0
Cu,56.0,-118.0,96.9,55.12,-124.03,391.0
Cu,28.0,-120.0,96.9,28.17,-115.17,474.0
Cu,56.0,-148.0,96.9,57.79,-153.21,374.0
Cu,-32.0,-64.0,96.9,-31.43,-67.42,330.0
Cu,54.0,-108.0,96.8,54.33,-102.0,392.0
Cu,50.0,-102.0,96.7,50.63,-95.61,459.0
Cu,54.0,-140.0,96.7,57.29,-135.84,449.0
Cu,52.0,-104.0,96.7,54.33,-102.0,291.0
Cu,56.0,-150.0,96.7,57.79,-153.21,279.0
Cu,56.0,-116.0,96.6,55.12,-124.03,514.0
Cu,48.0,-132.0,96.6,50.67,-127.83,423.0
Cu,38.0,-130.0,96.6,39.07,-123.42,584.0
Cu,-22.0,-76.0,96.6,-23.36,-70.5,584.0
Cu,-34.0,-76.0,96.5,-35.53,-71.71,427.0
Cu,44.0,-98.0,96.5,43.96,-103.46,437.0
Cu,52.0,-136.0,96.5,54.69,-132.71,370.0
Cu,58.0,-122.0,96.5,57.37,-126.75,291.0
Cu,48.0,-100.0,96.3,50.24,-95.38,418.0
Cu,-18.0,-76.0,96.3,-15.58,-74.5,313.0
Cu,44.0,-78.0,96.3,44.38,-75.1,235.0
Cu,40.0,-82.0,96.3,38.63,-78.69,323.0
