depth_top_km,depth_bot_km,depth_mid_km,density_gcc,region,region_zh,shell_mass_kg,element,ppm_mass,shell_element_mass_kg
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Y,26.812500000000004,3.91146046905459e+16
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Er,2.84375,4148518679300323.0
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Re,0.00056875,829703735860.0647
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Mn,1047.7653650972654,1.5285008135841505e+18
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Au,0.00325,4741164204914.655
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Ga,15.4375,2.2520529973344612e+16
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Co,20.3125,2.963227628071659e+16
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Hg,0.06906250000000001,100749739354436.44
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,P,967.6899570240947,1.4116852263686275e+18
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,O,456585.25532038603,6.660755904667177e+20
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,U,2.19375,3200285838317392.0
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Ba,345.3125,5.037486967721821e+17
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Os,0.00121875,1777936576842.9956
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,C,162.5,2.3705821024573274e+17
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Pb,11.375,1.6594074717201292e+16
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Mo,0.975,1422349261474396.5
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Nb,16.25,2.3705821024573276e+16
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Ca,49262.55349500714,7.18651862379142e+19
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,W,1.015625,1481613814035829.8
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Tb,0.975,1422349261474396.5
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Cr,82.875,1.208996872253237e+17
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Sc,17.875,2.6076403127030604e+16
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Li,16.25,2.3705821024573276e+16
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Tl,0.6906249999999999,1007497393544364.1
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Tm,0.4225,616351346638905.1
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Cd,0.121875,177793657684299.56
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Zr,134.0625,1.955730234527295e+17
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Fe,62211.6127348643,9.075552967032349e+19
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Gd,5.0375000000000005,7348804517617716.0
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Eu,1.625,2370582102457327.5
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Xe,2.4375e-05,35558731536.85992
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Sb,0.1625,237058210245732.78
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Nd,33.71875,4.9189578625989544e+16
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Cs,2.4375,3555873153685991.5
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,H,1137.5,1.6594074717201295e+18
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Rb,73.125,1.0667619461057974e+17
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,B,8.125,1.1852910512286638e+16
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,S,284.375,4.148518679300324e+17
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Ni,68.25,9.956444830320774e+16
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Be,2.275,3318814943440258.5
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Cl,117.8125,1.7186720242815626e+17
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Ru,0.0008125,1185291051228.6638
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Ar,2.84375,4148518679300323.0
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Na,22930.62681510165,3.345165140062033e+19
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Sn,1.86875,2726169417825926.5
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Th,7.8,1.1378794091795172e+16
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Yb,2.6,3792931363931724.5
