reservoir,reservoir_zh,reservoir_mass_kg,element,ppm_mass,element_mass_kg,confidence,ref
mantle,地幔,4.0015e+24,Ca,25370.345934379457,1.0151943925641939e+23,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Na,2670.6679574056147,1.0686677831558569e+22,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,K,240.7307855626327,9.632842384288747e+20,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,P,96.01634493447935,3.842094042553191e+20,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Ni,1964.553487749364,7.86116078122908e+21,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,O,439900.755169763,1.7602628718118066e+24,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Li,1.6,6.4024e+18,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Rb,0.6,2.4009e+18,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Sr,21.0,8.40315e+19,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Ba,6.8,2.72102e+19,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Cs,0.021,8.40315e+16,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Zr,10.5,4.201575e+19,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Hf,0.28,1.1204200000000001e+18,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Nb,0.7,2.80105e+18,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Ta,0.037,1.480555e+17,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Y,4.3,1.7206449999999998e+19,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,La,0.6,2.4009e+18,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Ce,1.6,6.4024e+18,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Pr,0.23,9.20345e+17,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Nd,1.25,5.001875e+18,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Sm,0.4,1.6006e+18,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Eu,0.15,6.00225e+17,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Gd,0.54,2.1608100000000003e+18,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Tb,0.1,4.0015e+17,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Dy,0.67,2.6810050000000005e+18,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Ho,0.15,6.00225e+17,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Er,0.44,1.76066e+18,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Tm,0.068,2.7210200000000003e+17,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Yb,0.44,1.76066e+18,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Lu,0.067,2.6810050000000003e+17,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,U,0.0203,8.123044999999998e+16,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Th,0.0795,3.1811925000000006e+17,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Pb,0.15,6.00225e+17,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,V,82.0,3.28123e+20,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Sc,16.0,6.4024e+19,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Cu,30.0,1.20045e+20,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Zn,55.0,2.200825e+20,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Co,105.0,4.201575e+20,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Ga,4.0,1.6006e+19,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Ge,1.3,5.20195e+18,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Mo,0.05,2.00075e+17,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,B,0.3,1.20045e+18,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Os,0.0034,1.36051e+16,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Ir,0.0032,1.2804800000000002e+16,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Ru,0.005,2.00075e+16,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Pt,0.0076,3.0411400000000004e+16,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Pd,0.0039,1.5605849999999998e+16,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Re,0.00028,1120419999999999.9,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,Au,0.001,4001500000000000.5,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
mantle,地幔,4.0015e+24,S,250.0,1.000375e+21,high(major)/medium(trace),McDonough & Sun (1995) pyrolite；微量≈教科书参考值待机器复核
core,地核,1.9387e+24,Fe,855000.0,1.6575885e+24,"medium(Fe,Ni)/low(light elements)",McDonough (2003) 汇编；轻元素配比=本文假设档(见 hypotheses.md)
core,地核,1.9387e+24,Ni,52000.0,1.008124e+23,"medium(Fe,Ni)/low(light elements)",McDonough (2003) 汇编；轻元素配比=本文假设档(见 hypotheses.md)
core,地核,1.9387e+24,Si,60000.0,1.16322e+23,"medium(Fe,Ni)/low(light elements)",McDonough (2003) 汇编；轻元素配比=本文假设档(见 hypotheses.md)
core,地核,1.9387e+24,S,19000.0,3.68353e+22,"medium(Fe,Ni)/low(light elements)",McDonough (2003) 汇编；轻元素配比=本文假设档(见 hypotheses.md)
core,地核,1.9387e+24,O,9000.0,1.74483e+22,"medium(Fe,Ni)/low(light elements)",McDonough (2003) 汇编；轻元素配比=本文假设档(见 hypotheses.md)
core,地核,1.9387e+24,C,2000.0,3.8774e+21,"medium(Fe,Ni)/low(light elements)",McDonough (2003) 汇编；轻元素配比=本文假设档(见 hypotheses.md)
core,地核,1.9387e+24,H,1000.0,1.9387e+21,"medium(Fe,Ni)/low(light elements)",McDonough (2003) 汇编；轻元素配比=本文假设档(见 hypotheses.md)
